timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1705666482719,2335,HTTP Request,200,OK,Assignment_2 8-1,text,true,,244928,252,2,34,https://www.makemytrip.com:443/homestays/,223,0,190
1705666482719,223,HTTP Request-0,301,Moved Permanently,Assignment_2 8-1,text,true,,348,122,2,34,https://makemytrip.com/homestays/,223,0,190
1705666482942,2112,HTTP Request-1,200,OK,Assignment_2 8-1,text,true,,244580,130,2,34,https://www.makemytrip.com:443/homestays/,1947,0,170
1705666488709,1903,HTTP Request,200,OK,Assignment_2 8-1,text,true,,237662,246,3,4,https://www.makemytrip.com:443/hotels/,38,0,0
1705666488709,38,HTTP Request-0,301,Moved Permanently,Assignment_2 8-1,text,true,,345,119,3,4,https://makemytrip.com/hotels/,38,0,0
1705666488747,1865,HTTP Request-1,200,OK,Assignment_2 8-1,text,true,,237317,127,3,4,https://www.makemytrip.com:443/hotels/,1785,0,0
1705666488709,1976,HTTP Request,200,OK,Assignment_2 8-2,text,true,,237635,246,3,4,https://www.makemytrip.com:443/hotels/,85,0,69
1705666488709,85,HTTP Request-0,301,Moved Permanently,Assignment_2 8-2,text,true,,345,119,3,4,https://makemytrip.com/hotels/,85,0,69
1705666488794,1891,HTTP Request-1,200,OK,Assignment_2 8-2,text,true,,237290,127,3,4,https://www.makemytrip.com:443/hotels/,1836,0,73
1705666494716,2021,HTTP Request,200,OK,Assignment_2 8-1,text,true,,244964,252,4,5,https://www.makemytrip.com:443/homestays/,202,0,0
1705666494716,202,HTTP Request-0,301,Moved Permanently,Assignment_2 8-1,text,true,,348,122,4,5,https://makemytrip.com/homestays/,202,0,0
1705666494918,1819,HTTP Request-1,200,OK,Assignment_2 8-1,text,true,,244616,130,4,5,https://www.makemytrip.com:443/homestays/,1802,0,0
1705666494716,2133,HTTP Request,200,OK,Assignment_2 8-2,text,true,,237654,246,3,4,https://www.makemytrip.com:443/hotels/,293,0,0
1705666494716,293,HTTP Request-0,301,Moved Permanently,Assignment_2 8-2,text,true,,345,119,3,4,https://makemytrip.com/hotels/,293,0,0
1705666495010,1839,HTTP Request-1,200,OK,Assignment_2 8-2,text,true,,237309,127,3,4,https://www.makemytrip.com:443/hotels/,1808,0,0
